@relation 'Absenteeism_at_work_A-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 12 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute ID {31.0,27.0,19.0,30.0,7.0,20.0,24.0,32.0,3.0,33.0,26.0,29.0,18.0,25.0,17.0,14.0,16.0,23.0,2.0,21.0,36.0,15.0,22.0,5.0,12.0,9.0,6.0,34.0,10.0,28.0,13.0,11.0,1.0,4.0,8.0,35.0}
@attribute Reason_for_absence {17.0,3.0,15.0,4.0,21.0,2.0,9.0,24.0,18.0,1.0,12.0,5.0,16.0,7.0,27.0,25.0,8.0,10.0,26.0,19.0,28.0,6.0,23.0,22.0,13.0,14.0,11.0,0.0}
@attribute Month_of_absence numeric
@attribute Day_of_the_week {5.0,2.0,3.0,4.0,6.0}
@attribute Seasons {4.0,1.0,2.0,3.0}
@attribute Transportation_expense numeric
@attribute Distance_from_Residence_to_Work numeric
@attribute Service_time numeric
@attribute Age numeric
@attribute Work_load_Average/day_ numeric
@attribute Hit_target numeric
@attribute Disciplinary_failure {1.0,0.0}
@attribute Education numeric
@attribute Son numeric
@attribute Social_drinker {1.0,0.0}
@attribute Social_smoker {1.0,0.0}
@attribute Pet numeric
@attribute Weight numeric
@attribute Height numeric
@attribute Body_mass_index numeric
@attribute Absenteeism_time_in_hours numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
3.0,11.0,8,2.0,1.0,179,51,18,38,205917,92,0.0,1,0,1.0,0.0,0,89,170,31,1,cluster9
10.0,13.0,8,2.0,1.0,361,52,3,28,205917,92,0.0,1,1,1.0,0.0,4,80,172,27,40,cluster5
20.0,28.0,8,6.0,1.0,260,50,11,36,205917,92,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster2
11.0,18.0,8,2.0,1.0,289,36,13,33,205917,92,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster3
10.0,25.0,8,2.0,1.0,361,52,3,28,205917,92,0.0,1,1,1.0,0.0,4,80,172,27,7,cluster5
11.0,23.0,8,3.0,1.0,289,36,13,33,205917,92,0.0,1,2,1.0,0.0,1,90,172,30,1,cluster5
30.0,28.0,8,4.0,1.0,157,27,6,29,205917,92,0.0,1,0,1.0,1.0,0,75,185,22,4,cluster6
11.0,18.0,8,4.0,1.0,289,36,13,33,205917,92,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster3
3.0,23.0,8,6.0,1.0,179,51,18,38,205917,92,0.0,1,0,1.0,0.0,0,89,170,31,2,cluster9
3.0,18.0,8,2.0,1.0,179,51,18,38,205917,92,0.0,1,0,1.0,0.0,0,89,170,31,8,cluster9
2.0,18.0,8,5.0,1.0,235,29,12,48,205917,92,0.0,1,1,0.0,1.0,5,88,163,33,8,cluster4
1.0,23.0,8,5.0,1.0,235,11,14,37,205917,92,0.0,3,1,0.0,0.0,1,88,172,29,4,cluster4
2.0,18.0,8,2.0,1.0,235,29,12,48,205917,92,0.0,1,1,0.0,1.0,5,88,163,33,8,cluster8
3.0,23.0,8,2.0,1.0,179,51,18,38,205917,92,0.0,1,0,1.0,0.0,0,89,170,31,2,cluster9
10.0,23.0,8,2.0,1.0,361,52,3,28,205917,92,0.0,1,1,1.0,0.0,4,80,172,27,1,cluster5
11.0,24.0,8,3.0,1.0,289,36,13,33,205917,92,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster5
19.0,11.0,8,5.0,1.0,291,50,12,32,205917,92,0.0,1,0,1.0,0.0,0,65,169,23,4,cluster4
2.0,28.0,8,6.0,1.0,235,29,12,48,205917,92,0.0,1,1,0.0,1.0,5,88,163,33,8,cluster2
20.0,23.0,8,6.0,1.0,260,50,11,36,205917,92,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster2
27.0,23.0,9,3.0,1.0,184,42,7,27,241476,92,0.0,1,0,0.0,0.0,0,58,167,21,2,cluster10
34.0,23.0,9,2.0,1.0,118,10,10,37,241476,92,0.0,1,0,0.0,0.0,0,83,172,28,4,cluster10
3.0,23.0,9,3.0,1.0,179,51,18,38,241476,92,0.0,1,0,1.0,0.0,0,89,170,31,4,cluster9
5.0,19.0,9,3.0,1.0,235,20,13,43,241476,92,0.0,1,1,1.0,0.0,0,106,167,38,8,cluster11
14.0,23.0,9,4.0,1.0,155,12,14,34,241476,92,0.0,1,2,1.0,0.0,0,95,196,25,2,cluster4
34.0,23.0,9,2.0,1.0,118,10,10,37,241476,92,0.0,1,0,0.0,0.0,0,83,172,28,3,cluster10
3.0,23.0,9,3.0,1.0,179,51,18,38,241476,92,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster9
15.0,23.0,9,5.0,1.0,291,31,12,40,241476,92,0.0,1,1,1.0,0.0,1,73,171,25,4,cluster4
20.0,22.0,9,6.0,1.0,260,50,11,36,241476,92,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster2
15.0,14.0,9,2.0,4.0,291,31,12,40,241476,92,0.0,1,1,1.0,0.0,1,73,171,25,32,cluster11
20.0,0.0,9,2.0,4.0,260,50,11,36,241476,92,1.0,1,4,1.0,0.0,0,65,168,23,0,cluster2
29.0,0.0,9,2.0,4.0,225,26,9,28,241476,92,1.0,1,1,0.0,0.0,2,69,169,24,0,cluster7
28.0,23.0,9,3.0,4.0,225,26,9,28,241476,92,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
34.0,23.0,9,3.0,4.0,118,10,10,37,241476,92,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
11.0,0.0,9,3.0,4.0,289,36,13,33,241476,92,1.0,1,2,1.0,0.0,1,90,172,30,0,cluster5
36.0,0.0,9,3.0,4.0,118,13,18,50,241476,92,1.0,1,1,1.0,0.0,0,98,178,31,0,cluster4
28.0,18.0,9,4.0,4.0,225,26,9,28,241476,92,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster7
3.0,23.0,9,4.0,4.0,179,51,18,38,241476,92,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster9
13.0,0.0,9,4.0,4.0,369,17,12,31,241476,92,1.0,1,3,1.0,0.0,0,70,169,25,0,cluster5
33.0,23.0,9,6.0,4.0,248,25,14,47,241476,92,0.0,1,2,0.0,0.0,1,86,165,32,1,cluster7
3.0,23.0,9,6.0,4.0,179,51,18,38,241476,92,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster9
20.0,23.0,9,6.0,4.0,260,50,11,36,241476,92,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster2
3.0,23.0,10,3.0,4.0,179,51,18,38,253465,93,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster9
34.0,23.0,10,3.0,4.0,118,10,10,37,253465,93,0.0,1,0,0.0,0.0,0,83,172,28,3,cluster10
36.0,0.0,10,4.0,4.0,118,13,18,50,253465,93,1.0,1,1,1.0,0.0,0,98,178,31,0,cluster9
22.0,23.0,10,5.0,4.0,179,26,9,30,253465,93,0.0,3,0,0.0,0.0,0,56,171,19,1,cluster12
3.0,23.0,10,6.0,4.0,179,51,18,38,253465,93,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster9
28.0,23.0,10,6.0,4.0,225,26,9,28,253465,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster7
34.0,23.0,10,3.0,4.0,118,10,10,37,253465,93,0.0,1,0,0.0,0.0,0,83,172,28,3,cluster10
28.0,23.0,10,4.0,4.0,225,26,9,28,253465,93,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
33.0,23.0,10,4.0,4.0,248,25,14,47,253465,93,0.0,1,2,0.0,0.0,1,86,165,32,2,cluster7
15.0,23.0,10,5.0,4.0,291,31,12,40,253465,93,0.0,1,1,1.0,0.0,1,73,171,25,5,cluster5
3.0,23.0,10,4.0,4.0,179,51,18,38,253465,93,0.0,1,0,1.0,0.0,0,89,170,31,8,cluster9
28.0,23.0,10,4.0,4.0,225,26,9,28,253465,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster7
20.0,19.0,10,5.0,4.0,260,50,11,36,253465,93,0.0,1,4,1.0,0.0,0,65,168,23,16,cluster2
15.0,14.0,10,3.0,4.0,291,31,12,40,253465,93,0.0,1,1,1.0,0.0,1,73,171,25,8,cluster5
28.0,28.0,10,3.0,4.0,225,26,9,28,253465,93,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
11.0,26.0,10,4.0,4.0,289,36,13,33,253465,93,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster11
10.0,23.0,10,6.0,4.0,361,52,3,28,253465,93,0.0,1,1,1.0,0.0,4,80,172,27,1,cluster5
20.0,28.0,10,6.0,4.0,260,50,11,36,253465,93,0.0,1,4,1.0,0.0,0,65,168,23,3,cluster2
3.0,23.0,11,5.0,4.0,179,51,18,38,306345,93,0.0,1,0,1.0,0.0,0,89,170,31,1,cluster9
28.0,23.0,11,4.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster7
3.0,13.0,11,5.0,4.0,179,51,18,38,306345,93,0.0,1,0,1.0,0.0,0,89,170,31,8,cluster9
17.0,21.0,11,5.0,4.0,179,22,17,40,306345,93,0.0,2,2,0.0,1.0,0,63,170,22,8,cluster8
15.0,23.0,11,5.0,4.0,291,31,12,40,306345,93,0.0,1,1,1.0,0.0,1,73,171,25,5,cluster5
14.0,10.0,11,2.0,4.0,155,12,14,34,306345,93,0.0,1,2,1.0,0.0,0,95,196,25,32,cluster11
6.0,22.0,11,2.0,4.0,189,29,13,33,306345,93,0.0,1,2,0.0,0.0,2,69,167,25,8,cluster7
15.0,14.0,11,2.0,4.0,291,31,12,40,306345,93,0.0,1,1,1.0,0.0,1,73,171,25,40,cluster11
28.0,23.0,11,4.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster7
14.0,6.0,11,6.0,4.0,155,12,14,34,306345,93,0.0,1,2,1.0,0.0,0,95,196,25,8,cluster11
28.0,23.0,11,4.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster7
17.0,21.0,11,4.0,4.0,179,22,17,40,306345,93,0.0,2,2,0.0,1.0,0,63,170,22,8,cluster8
28.0,13.0,11,6.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster7
20.0,28.0,11,6.0,4.0,260,50,11,36,306345,93,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster2
33.0,28.0,11,2.0,4.0,248,25,14,47,306345,93,0.0,1,2,0.0,0.0,1,86,165,32,1,cluster7
28.0,28.0,11,3.0,4.0,225,26,9,28,306345,93,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster7
11.0,7.0,11,4.0,4.0,289,36,13,33,306345,93,0.0,1,2,1.0,0.0,1,90,172,30,24,cluster9
15.0,23.0,11,5.0,4.0,291,31,12,40,306345,93,0.0,1,1,1.0,0.0,1,73,171,25,3,cluster5
33.0,23.0,12,3.0,4.0,248,25,14,47,261306,97,0.0,1,2,0.0,0.0,1,86,165,32,1,cluster7
34.0,19.0,12,3.0,4.0,118,10,10,37,261306,97,0.0,1,0,0.0,0.0,0,83,172,28,64,cluster10
36.0,23.0,12,4.0,4.0,118,13,18,50,261306,97,0.0,1,1,1.0,0.0,0,98,178,31,2,cluster9
1.0,26.0,12,4.0,4.0,235,11,14,37,261306,97,0.0,3,1,0.0,0.0,1,88,172,29,8,cluster11
28.0,23.0,12,5.0,4.0,225,26,9,28,261306,97,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
20.0,26.0,12,6.0,4.0,260,50,11,36,261306,97,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster2
34.0,19.0,12,3.0,4.0,118,10,10,37,261306,97,0.0,1,0,0.0,0.0,0,83,172,28,56,cluster10
10.0,22.0,12,4.0,4.0,361,52,3,28,261306,97,0.0,1,1,1.0,0.0,4,80,172,27,8,cluster5
28.0,28.0,12,5.0,4.0,225,26,9,28,261306,97,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster7
20.0,28.0,12,6.0,4.0,260,50,11,36,261306,97,0.0,1,4,1.0,0.0,0,65,168,23,3,cluster2
28.0,23.0,12,3.0,4.0,225,26,9,28,261306,97,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
10.0,22.0,12,4.0,4.0,361,52,3,28,261306,97,0.0,1,1,1.0,0.0,4,80,172,27,8,cluster5
34.0,27.0,12,6.0,4.0,118,10,10,37,261306,97,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
24.0,19.0,12,6.0,2.0,246,25,16,41,261306,97,0.0,1,0,1.0,0.0,0,67,170,23,8,cluster6
28.0,23.0,12,6.0,2.0,225,26,9,28,261306,97,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
28.0,23.0,1,4.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster7
34.0,19.0,1,2.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,1,cluster3
34.0,27.0,1,3.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,1,cluster10
14.0,18.0,1,3.0,2.0,155,12,14,34,308593,95,0.0,1,2,1.0,0.0,0,95,196,25,8,cluster3
28.0,27.0,1,4.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster6
27.0,23.0,1,5.0,2.0,184,42,7,27,308593,95,0.0,1,0,0.0,0.0,0,58,167,21,2,cluster12
28.0,28.0,1,5.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster6
28.0,27.0,1,6.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster7
34.0,27.0,1,2.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
28.0,27.0,1,3.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster10
34.0,27.0,1,3.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
34.0,27.0,1,4.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
34.0,27.0,1,5.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
34.0,27.0,1,6.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
34.0,27.0,1,2.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
34.0,27.0,1,3.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
22.0,18.0,1,3.0,2.0,179,26,9,30,308593,95,0.0,3,0,0.0,0.0,0,56,171,19,8,cluster12
11.0,18.0,1,3.0,2.0,289,36,13,33,308593,95,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster3
34.0,27.0,1,4.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
27.0,23.0,1,5.0,2.0,184,42,7,27,308593,95,0.0,1,0,0.0,0.0,0,58,167,21,2,cluster12
34.0,27.0,1,5.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,2,cluster10
34.0,27.0,1,2.0,2.0,118,10,10,37,308593,95,0.0,1,0,0.0,0.0,0,83,172,28,0,cluster10
28.0,23.0,1,3.0,2.0,225,26,9,28,308593,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster7
11.0,22.0,1,5.0,2.0,289,36,13,33,308593,95,0.0,1,2,1.0,0.0,1,90,172,30,3,cluster3
27.0,23.0,2,6.0,2.0,184,42,7,27,302585,99,0.0,1,0,0.0,0.0,0,58,167,21,1,cluster12
24.0,1.0,2,4.0,2.0,246,25,16,41,302585,99,0.0,1,0,1.0,0.0,0,67,170,23,8,cluster6
3.0,11.0,2,4.0,2.0,179,51,18,38,302585,99,0.0,1,0,1.0,0.0,0,89,170,31,8,cluster9
14.0,28.0,2,5.0,2.0,155,12,14,34,302585,99,0.0,1,2,1.0,0.0,0,95,196,25,2,cluster6
6.0,23.0,2,5.0,2.0,189,29,13,33,302585,99,0.0,1,2,0.0,0.0,2,69,167,25,8,cluster7
20.0,28.0,2,6.0,2.0,260,50,11,36,302585,99,0.0,1,4,1.0,0.0,0,65,168,23,2,cluster2
11.0,22.0,2,6.0,2.0,289,36,13,33,302585,99,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster3
31.0,11.0,2,2.0,2.0,388,15,9,50,302585,99,0.0,1,0,0.0,0.0,0,76,178,24,8,cluster3
31.0,1.0,2,3.0,2.0,388,15,9,50,302585,99,0.0,1,0,0.0,0.0,0,76,178,24,8,cluster10
28.0,28.0,2,2.0,2.0,225,26,9,28,302585,99,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
28.0,23.0,2,3.0,2.0,225,26,9,28,302585,99,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
22.0,23.0,2,3.0,2.0,179,26,9,30,302585,99,0.0,3,0,0.0,0.0,0,56,171,19,1,cluster12
27.0,23.0,2,3.0,2.0,184,42,7,27,302585,99,0.0,1,0,0.0,0.0,0,58,167,21,8,cluster12
28.0,25.0,2,5.0,2.0,225,26,9,28,302585,99,0.0,1,1,0.0,0.0,2,69,169,24,3,cluster7
18.0,18.0,2,2.0,2.0,330,16,4,28,302585,99,0.0,2,0,0.0,0.0,0,84,182,25,8,cluster3
18.0,23.0,2,3.0,2.0,330,16,4,28,302585,99,0.0,2,0,0.0,0.0,0,84,182,25,1,cluster12
28.0,23.0,2,4.0,2.0,225,26,9,28,302585,99,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster7
6.0,19.0,2,5.0,2.0,189,29,13,33,302585,99,0.0,1,2,0.0,0.0,2,69,167,25,8,cluster3
19.0,28.0,3,3.0,2.0,291,50,12,32,343253,95,0.0,1,0,1.0,0.0,0,65,169,23,2,cluster6
20.0,19.0,3,3.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster3
30.0,19.0,3,3.0,2.0,157,27,6,29,343253,95,0.0,1,0,1.0,1.0,0,75,185,22,3,cluster3
17.0,17.0,3,3.0,2.0,179,22,17,40,343253,95,0.0,2,2,0.0,1.0,0,63,170,22,8,cluster8
15.0,22.0,3,4.0,2.0,291,31,12,40,343253,95,0.0,1,1,1.0,0.0,1,73,171,25,8,cluster6
20.0,13.0,3,4.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,8,cluster6
22.0,13.0,3,5.0,2.0,179,26,9,30,343253,95,0.0,3,0,0.0,0.0,0,56,171,19,8,cluster12
33.0,14.0,3,6.0,2.0,248,25,14,47,343253,95,0.0,1,2,0.0,0.0,1,86,165,32,3,cluster3
20.0,13.0,3,6.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,40,cluster2
17.0,11.0,3,2.0,2.0,179,22,17,40,343253,95,0.0,2,2,0.0,1.0,0,63,170,22,40,cluster8
14.0,1.0,3,2.0,2.0,155,12,14,34,343253,95,0.0,1,2,1.0,0.0,0,95,196,25,16,cluster3
20.0,26.0,3,2.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,16,cluster3
14.0,13.0,3,3.0,2.0,155,12,14,34,343253,95,0.0,1,2,1.0,0.0,0,95,196,25,8,cluster3
11.0,6.0,3,5.0,2.0,289,36,13,33,343253,95,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster3
17.0,8.0,3,5.0,2.0,179,22,17,40,343253,95,0.0,2,2,0.0,1.0,0,63,170,22,8,cluster8
20.0,28.0,3,6.0,2.0,260,50,11,36,343253,95,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster2
28.0,23.0,3,6.0,2.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster7
7.0,14.0,3,2.0,2.0,279,5,14,39,343253,95,0.0,1,2,1.0,1.0,0,68,168,24,8,cluster3
3.0,13.0,3,3.0,2.0,179,51,18,38,343253,95,0.0,1,0,1.0,0.0,0,89,170,31,24,cluster1
28.0,23.0,3,4.0,2.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster7
28.0,11.0,3,2.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,8,cluster7
22.0,13.0,3,2.0,3.0,179,26,9,30,343253,95,0.0,3,0,0.0,0.0,0,56,171,19,1,cluster12
28.0,11.0,3,3.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,8,cluster7
28.0,11.0,3,4.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,16,cluster12
3.0,13.0,3,4.0,3.0,179,51,18,38,343253,95,0.0,1,0,1.0,0.0,0,89,170,31,3,cluster1
7.0,14.0,3,5.0,3.0,279,5,14,39,343253,95,0.0,1,2,1.0,1.0,0,68,168,24,16,cluster8
28.0,28.0,3,6.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster1
33.0,14.0,3,6.0,3.0,248,25,14,47,343253,95,0.0,1,2,0.0,0.0,1,86,165,32,3,cluster1
28.0,28.0,3,2.0,3.0,225,26,9,28,343253,95,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster7
15.0,28.0,4,4.0,3.0,291,31,12,40,326452,96,0.0,1,1,1.0,0.0,1,73,171,25,1,cluster6
28.0,23.0,4,4.0,3.0,225,26,9,28,326452,96,0.0,1,1,0.0,0.0,2,69,169,24,1,cluster12
14.0,28.0,4,3.0,3.0,155,12,14,34,326452,96,0.0,1,2,1.0,0.0,0,95,196,25,1,cluster1
24.0,13.0,4,4.0,3.0,246,25,16,41,326452,96,0.0,1,0,1.0,0.0,0,67,170,23,24,cluster6
14.0,23.0,4,5.0,3.0,155,12,14,34,326452,96,0.0,1,2,1.0,0.0,0,95,196,25,1,cluster4
28.0,28.0,4,6.0,3.0,225,26,9,28,326452,96,0.0,1,1,0.0,0.0,2,69,169,24,2,cluster1
20.0,28.0,4,6.0,3.0,260,50,11,36,326452,96,0.0,1,4,1.0,0.0,0,65,168,23,4,cluster2
3.0,13.0,4,4.0,3.0,179,51,18,38,326452,96,0.0,1,0,1.0,0.0,0,89,170,31,24,cluster1
36.0,23.0,4,5.0,3.0,118,13,18,50,326452,96,0.0,1,1,1.0,0.0,0,98,178,31,1,cluster4
15.0,23.0,4,6.0,3.0,291,31,12,40,326452,96,0.0,1,1,1.0,0.0,1,73,171,25,3,cluster1
24.0,14.0,4,6.0,3.0,246,25,16,41,326452,96,0.0,1,0,1.0,0.0,0,67,170,23,8,cluster1
15.0,28.0,4,6.0,3.0,291,31,12,40,326452,96,0.0,1,1,1.0,0.0,1,73,171,25,1,cluster1
33.0,28.0,4,6.0,3.0,248,25,14,47,326452,96,0.0,1,2,0.0,0.0,1,86,165,32,8,cluster1
20.0,19.0,4,6.0,3.0,260,50,11,36,326452,96,0.0,1,4,1.0,0.0,0,65,168,23,56,cluster2
11.0,19.0,4,3.0,3.0,289,36,13,33,326452,96,0.0,1,2,1.0,0.0,1,90,172,30,8,cluster3
